City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Tateyama,JP,75.09,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
2,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Tateyama Seaside Hotel
4,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Tateyama Seaside Hotel
8,Krumovgrad,BG,73.04,overcast clouds,41.4667,25.65,Tateyama Seaside Hotel
12,Nikolskoye,RU,73.29,clear sky,59.7035,30.7861,Tateyama Seaside Hotel
13,Faanui,PF,79.14,clear sky,-16.4833,-151.75,Tateyama Seaside Hotel
14,Bengkulu,ID,74.97,overcast clouds,-3.8004,102.2655,Tateyama Seaside Hotel
15,Esfarayen,IR,80.26,clear sky,37.0765,57.5101,Tateyama Seaside Hotel
18,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Tateyama Seaside Hotel
22,Karratha,AU,66.97,clear sky,-20.7377,116.8463,Tateyama Seaside Hotel
23,Rikitea,PF,75.0,overcast clouds,-23.1203,-134.9692,Tateyama Seaside Hotel
25,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Tateyama Seaside Hotel
26,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Tateyama Seaside Hotel
27,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Tateyama Seaside Hotel
29,Copenhagen,DK,73.02,light rain,55.6759,12.5655,Tateyama Seaside Hotel
32,Boulder,US,68.47,overcast clouds,40.0833,-105.3505,Tateyama Seaside Hotel
33,Krasnyy Kut,RU,65.73,clear sky,50.95,46.9667,Tateyama Seaside Hotel
35,Mysliborz,PL,78.06,light rain,52.9238,14.8679,Tateyama Seaside Hotel
36,Bambanglipuro,ID,77.54,overcast clouds,-7.95,110.2833,Tateyama Seaside Hotel
38,Kahului,US,77.85,broken clouds,20.8947,-156.47,Tateyama Seaside Hotel
41,Avarua,CK,71.65,few clouds,-21.2078,-159.775,Tateyama Seaside Hotel
44,Chiredzi,ZW,65.26,overcast clouds,-21.05,31.6667,Tateyama Seaside Hotel
45,Saint-Pierre,RE,68.92,broken clouds,-21.3393,55.4781,Tateyama Seaside Hotel
46,Luau,AO,63.23,overcast clouds,-10.7073,22.2247,Tateyama Seaside Hotel
50,Voykove,UA,71.1,overcast clouds,45.3826,36.4372,Tateyama Seaside Hotel
52,Aloleng,PH,81.45,broken clouds,16.1307,119.7824,Tateyama Seaside Hotel
54,Kirakira,SB,80.42,scattered clouds,-10.4544,161.9205,Tateyama Seaside Hotel
56,Mtambile,TZ,76.48,clear sky,-5.3833,39.7,Tateyama Seaside Hotel
58,Praia Da Vitoria,PT,69.76,scattered clouds,38.7333,-27.0667,Tateyama Seaside Hotel
60,Ambilobe,MG,67.51,scattered clouds,-13.2,49.05,Tateyama Seaside Hotel
61,Kroya,ID,76.53,overcast clouds,-7.6331,109.2461,Tateyama Seaside Hotel
